//id	name
1	STR 
2	ACC 
3	CON 
4	AGI 
5	SPR 
6	0
7	0
8	0
9	0
10	0
11	STR ACC 
12	STR CON 
13	STR AGI 
14	STR SPR 
15	ACC CON 
16	ACC AGI 
17	ACC SPR 
18	CON AGI 
19	CON SPR 
20	AGI SPR 
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	STR ACC CON 
51	STR ACC AGI 
52	STR ACC SPR 
53	STR CON AGI 
54	STR CON SPR 
55	STR AGI SPR 
56	ACC CON AGI 
57	ACC CON SPR 
58	ACC AGI SPR 
59	CON AGI SPR 
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	STR ACC CON AGI 
91	STR ACC CON SPR 
92	STR ACC AGI SPR 
93	STR CON AGI SPR 
94	ACC CON AGI SPR 
95	0
96	0
97	0
98	0
99	0
